business_id,caption,label,photo_id
JzB7NITHQ7gVHGVZ1ntgIQ,Black Angus Steak Sandwich... Huge!!!,food,VZXDC7VBdIXXjE3omVqeMg
JzB7NITHQ7gVHGVZ1ntgIQ,,outside,c6Em6dDZ4aVKDI8Lc2BQog
JzB7NITHQ7gVHGVZ1ntgIQ,,food,VAoFn_z9QF0qVmT5vTdwWA
JzB7NITHQ7gVHGVZ1ntgIQ,,food,ToCK6BSwnST8nIzSuskW3g
JzB7NITHQ7gVHGVZ1ntgIQ,,food,XFsXCbK5q3ks0n7B8grI8A
JzB7NITHQ7gVHGVZ1ntgIQ,,inside,Rj-aRnoIvCP1OsZUAJ3JCQ
JzB7NITHQ7gVHGVZ1ntgIQ,,food,VLeextjhHN3aO-AistDnoQ
JzB7NITHQ7gVHGVZ1ntgIQ,,food,Bjkb5OaZv6_OxaTvMSjdaA
JzB7NITHQ7gVHGVZ1ntgIQ,,food,B30UMLg5h-ucc8Iujoim1A
sAU0FbmsQwcwk3uvvvtIgw,Exterior,outside,0rA7NmWz_osdAWLTQyln3A
r6JuhqakByGOXdwii3Sa-w,2nd story,inside,UTpcUMLWdZeSq4PgnIyQHQ
6C6GRESqx2bDxgMHN7LUXg,,food,s34NetaQ5WNSehhrEck5Xw
6C6GRESqx2bDxgMHN7LUXg,Cod Sliders- my absolute favorite!,food,RytDNdZg03Rb9CYrsJQdXQ
y6uOL03ph3NjTUGc76a4jg,The entrance sign,outside,5Ds8tEIvQLzJWf8ooxCPuw
rQ6C54q1N2iq9iDKSA3QGA,"Cool lighting at the bar! They also have a green ""cut out"" through the ceiling, but the main lighting is a nice gold.",inside,xZRX_XuTnZGv03Vpp4GGHw
mqDh5Nr01wNP-1sPcwxAcQ,I give you a large traditional half pepperoni/Italian sausage and half pineapple. First time having their pizza. Pretty delicious.,food,D8rykN9Wj8vET4KyUhwM-g
mqDh5Nr01wNP-1sPcwxAcQ,Cheesy Breadsticks.,food,WmdH02OjVbMvCI1JoPws_g
